Type,Zero,Name,Manufacturer,lat,long,Sweetness,Fruityness,Synthetic,Fizz,Sugar,SugarScale,Caffeine,CaffeineScale,Rating
Spezi,true,deit zuckerfrei Cola Mix,Vereinigte Mineralbrunnen Verwaltungs GmbH,49.99702833279913,12.291342192553348,2,2,5,4,0.3,0.175257731959,,-0.263157894737,1
Cola,false,dm Guarana Cola,dm-drogerie markt GmbH,,,3,3,2,1,8.3,3.474226804124,,-0.263157894737,3
Cola,false,Dr. Pepper,Dr Pepper/Seven Up Inc,50.991259709171935,7.957099497094364,5,1,3,5,6.8,2.855670103093,,-0.263157894737,3
Cola,true,Dr. Pepper Zero,Dr Pepper/Seven Up Inc,50.991259709171935,7.957099497094364,4,1,5,3,,0.051546391753,,-0.263157894737,1
Cola,false,Dönercola,Dönercola,52.6087388315471,12.344001837127642,5,4,5,4,6,2.525773195876,,-0.263157894737,1
Spezi,false,Eichbaum Braumeisters Cola-Mix,Privatbrauerei Eichbaum GmbH & Co. KG,49.496110560109145,8.489984046729129,2,4,1,4,9.2,3.845360824742,,-0.263157894737,4
Spezi,false,Eizbach Calypzo Orange & Cola,Eizbach Getränke GmbH,48.15012088747128,11.563869611313931,2,2,1,4,10.3,4.298969072165,,-0.263157894737,5
Cola,false,Eizbach Cryztal Cola,Eizbach Getränke GmbH,48.15012088747128,11.563869611313931,4,2,3,4,10.6,4.422680412371,25,5,3
Spezi,false,Ensinger Cola-Mix Limonade,Mineral-Heilquellen GmbH,48.968292721776535,8.959291216648229,2,4,2,4,11,4.587628865979,,-0.263157894737,3
Spezi,false,Feldschlößchen Mix,Feldschlößchen AG,51.01600432320822,13.70830559691828,3,1,2,5,9.4,3.927835051546,,-0.263157894737,2
Cola,false,Fentimans Curiosity Cola,Columbus Drinks GmbH,53.534539469996794,10.107806608605094,3,3,1,1,7.8,3.268041237113,,-0.263157894737,2
Spezi,false,flumi Cola-Mix,Privatbrauerei Ustersbach KG,48.31588736057756,10.641356961816362,3,2,2,4,9.1,3.80412371134,,-0.263157894737,3
Spezi,false,Flötzinger Cola Mix,Flötzinger Bräu,47.85604555101825,12.122195009529092,3,3,3,4,11,4.587628865979,,-0.263157894737,5
Spezi,false,Franken Brunnen Mexi Cola Mix,Franken Brunnen GmbH & Co. KG,49.58788439198117,10.622740148375899,3,4,1,4,10,4.175257731959,,-0.263157894737,3
Cola,false,Freeway Cola,MEG Weißenfels GmbH,51.19535864491068,11.966840495643162,4,1,3,3,9.7,4.051546391753,,-0.263157894737,3
Cola,true,Freeway Cola Zero,MEG Weißenfels GmbH,51.19535864491068,11.966840495643162,5,1,3,3,,0.051546391753,,-0.263157894737,3
Spezi,false,Freeway Mixx Max,MEG Weißenfels GmbH,51.19535864491068,11.966840495643162,3,2,4,2,9.2,3.845360824742,,-0.263157894737,3
Spezi,false,Frische Mische,Privat-Brauerei Hohenfelde GmbH,51.792276515594224,8.318962115218875,1,4,2,3,9.8,4.092783505155,,-0.263157894737,4
Cola,false,fritz kola,fritz-kulturgüter gmbh,53.54835410514133,10.013956036849734,3,3,2,5,11,4.587628865979,25,5,4
Cola,true,fritz kola null zucker,fritz-kulturgüter gmbh,53.54835410514133,10.013956036849734,4,2,4,3,0,0.051546391753,25,5,2
Cola,true,fritz kola ohne zucker,fritz-kulturgüter gmbh,53.54835410514133,10.013956036849734,4,2,3,4,0,0.051546391753,25,5,3
Cola,true,fritz kola super zero,fritz-kulturgüter gmbh,53.54835410514133,10.013956036849734,3,2,2,4,0,0.051546391753,,-0.263157894737,4
Spezi,false,Frucade Cola-Mix,KUNZMANN Weinkellerei,48.39357421132855,11.054739206906683,4,5,2,4,10,4.175257731959,,-0.263157894737,4
Spezi,false,Giesinger Kracherl Cola Mix,Giesinger Biermanufaktur & Spezialitäten Braugesellschaft mbH,48.19259933208099,11.556843129846104,3,4,1,4,9.1,3.80412371134,,-0.263157894737,4
Cola,false,Glorietta Cola,Oettinger Brauerei GmbH,48.957596522838735,10.599260792368135,3,4,4,5,9.5,3.969072164948,8.4,1.505263157895,2
Spezi,false,Glorietta Cola Mix,Oettinger Brauerei GmbH,48.957596522838735,10.599260792368135,2,4,5,5,8.4,3.515463917526,6.9,1.189473684211,1
Spezi,false,Gluggerla Cola-Mix,Privatbrauerei Rothenbach,49.88355567403234,11.228239435520571,3,4,2,2,10,4.175257731959,,-0.263157894737,3
Cola,false,Gut und günstig Cola,EDEKA AG,53.6026248153398,10.020243756289013,3,1,4,1,9.6,4.010309278351,,-0.263157894737,1
Cola,true,Gut und günstig Cola light,EDEKA AG,53.6026248153398,10.020243756289013,4,1,3,1,0,0.051546391753,,-0.263157894737,3
Spezi,false,Gut und günstig Cola Mix,EDEKA AG,53.6026248153398,10.020243756289013,2,2,4,1,9.6,4.010309278351,,-0.263157894737,2
Cola,true,Gut und günstig Cola Zero,EDEKA AG,53.6026248153398,10.020243756289013,4,1,2,1,0,0.051546391753,,-0.263157894737,3
Spezi,false,Günni’s Cola-Mix,Günther-Bräu GmbH,50.13656188575778,11.249058185393405,3,3,2,4,9.3,3.886597938144,,-0.263157894737,3
Cola,false,Hatakosen Ramune Blue Cola,,,,4,1,3,5,8.8,3.680412371134,,-0.263157894737,2
Spezi,false,Hoellen Sprudel Cubana,Brunnenverwaltung Hoellensprudel,50.36539874759844,11.693415598882263,3,2,4,3,10,4.175257731959,,-0.263157894737,2
Spezi,false,Hubauer Cola-Mix,Trinks Süd GmbH,48.26727429321914,12.61172202227135,4,4,4,2,9.9,4.134020618557,,-0.263157894737,3
Cola,false,ja! Cola,Hansa-Heemann AG,53.643966451572446,9.83922078437626,3,2,4,1,8.7,3.639175257732,,-0.263157894737,2
Spezi,false,ja! Cola-Mix,Hansa-Heemann AG,53.643966451572446,9.83922078437626,3,3,2,3,8.4,3.515463917526,,-0.263157894737,3
Cola,false,Jarritos Mexican Cola,Mexican Soda Company GmbH,51.075708600586914,13.688947184810003,4,5,3,3,9,3.762886597938,,-0.263157894737,4
Cola,false,K-Classic Cola,Kaufland,49.17928715695621,9.225034723502544,4,1,2,3,9.7,4.051546391753,,-0.263157894737,3
Spezi,false,K-Classic Cola + Orange,Kaufland,49.17928715695621,9.225034723502544,2,3,4,2,9.2,3.845360824742,,-0.263157894737,2
Spezi,false,Krombacher Spezi,Krombacher Brauerei,50.99115232619812,7.956457893602654,3,3,3,4,9,3.762886597938,,-0.263157894737,3
Spezi,false,Kuchlbauer Cola~Mix,Brauerei zum Kuchlbauer GmbH & Co. KG,48.81687964707285,11.84275565696606,3,4,3,3,10,4.175257731959,,-0.263157894737,3
Spezi,false,Labertaler Spezial,Getränke Hausler GmbH,48.82818167781848,12.150078187202395,2,2,1,3,9,3.762886597938,,-0.263157894737,3
Spezi,false,Land L!mo,Potts Brauerei,51.810983512501835,8.131769901175534,3,3,3,3,3.9,1.659793814433,,-0.263157894737,2
Spezi,false,Landbrauerei Cola-Mix,Landbrauerei Ludwig Erl,48.82777788906098,12.396026198677571,2,2,1,4,9.2,3.845360824742,,-0.263157894737,4
Spezi,false,Leikeim Cola-Mix,Brauhaus Leikeim,50.124758248686526,11.237660150562162,3,2,3,5,10,4.175257731959,,-0.263157894737,3
Spezi,false,Libella Cola Mix,Getränkehaus Plöchl GmbH & Co.KG,48.916543562044495,13.266580983584763,2,4,3,4,9.5,3.969072164948,,-0.263157894737,3
Spezi,false,Maisacher Cola-Mix,Brauerei Maisach GmbH,48.21701425605438,11.26352458011196,4,4,4,4,12,5,,-0.263157894737,3
Spezi,false,Mezzo Mix,The Coca-Cola Company,52.69245522190986,14.220429185277961,2,1,4,5,7.9,3.309278350515,6,1,2
Spezi,true,Mezzo Mix Zero,The Coca-Cola Company,52.69245522190986,14.220429185277961,3,2,5,3,0.1,0.092783505155,,-0.263157894737,2
Cola,false,Mio Mio Cola,Mio Mio GmbH,52.666006119070424,7.485836400014997,2,2,3,3,11,4.587628865979,,-0.263157894737,3
Cola,true,Mio Mio Cola Zero,Mio Mio GmbH,52.666006119070424,7.485836400014997,5,1,3,3,,0.051546391753,,-0.263157894737,3
Spezi,false,"mischmasch ",fritz-kulturgüter gmbh,53.54835410514133,10.013956036849734,2,4,2,5,8.9,3.721649484536,6.5,1.105263157895,3
Spezi,false,Nawinta Cola-Mix,Schloßbrauerei Reckendorf,50.022455140531356,10.829658621298432,3,2,3,5,10,4.175257731959,,-0.263157894737,2
Cola,false,now black cola,Neumarkter Lammsbräu,49.28426599748721,11.46086485963511,2,1,2,2,7.3,3.061855670103,,-0.263157894737,1
Spezi,false,Now Orange Cola,Neumarkter Lammsbräu,49.28426599748721,11.46086485963511,1,4,2,5,9,3.762886597938,,-0.263157894737,3
Cola,false,ORGANICS Simply Cola by Red Bull,Red Bull GmbH,47.79138409044795,13.295650850708677,4,3,4,2,8.8,3.680412371134,13,2.473684210526,2
Spezi,false,Pali Cola Mix,Otto Pachmayr Erfrischungsgetränke GmbH,48.0326911775788,11.58811910715298,3,4,2,2,9.5,3.969072164948,,-0.263157894737,4
Spezi,false,Paul Anderl’s Cola-Mix,Paul Anderl GmbH,48.023082381754755,11.808907535396715,3,5,1,4,9.5,3.969072164948,,-0.263157894737,4
Spezi,false,Paul Anderl’s Schwupp Cola-Mix,Paul Anderl GmbH,48.023082381754755,11.808907535396715,3,5,1,3,10.1,4.216494845361,,-0.263157894737,4
Spezi,false,Paulaner Spezi,Paulaner Brauerei Gruppe GmbH & Co. KGaA,48.17674815070871,11.436520786667451,2,2,4,5,9.2,3.845360824742,9.6,1.757894736842,4
Spezi,true,Paulaner Spezi Zero,Paulaner Brauerei Gruppe GmbH & Co. KGaA,48.17674815070871,11.436520786667451,4,2,4,3,0,0.051546391753,,-0.263157894737,3
Cola,false,Penny Cola,Hansa-Heemann AG,53.643966451572446,9.83922078437626,4,1,5,4,8.7,3.639175257732,,-0.263157894737,1
Spezi,false,Penny Cola Mix,Hansa-Heemann AG,53.643966451572446,9.83922078437626,2,3,3,4,8.4,3.515463917526,,-0.263157894737,3
Spezi,true,Penny Cola Mix Zero,Hansa-Heemann AG,53.643966451572446,9.83922078437626,1,3,5,4,0,0.051546391753,,-0.263157894737,1
Cola,false,Pepsi,PepsiCo Deutschland GmbH,50.044822960218234,8.691164552538472,2,2,2,4,7,2.938144329897,10.4,1.926315789474,5
Cola,true,Pepsi Light,PepsiCo Deutschland GmbH,50.044822960218234,8.691164552538472,3,3,4,4,,0.051546391753,,-0.263157894737,3
Cola,true,Pepsi Max,PepsiCo Deutschland GmbH,50.044822960218234,8.691164552538472,2,4,3,4,,0.051546391753,,-0.263157894737,3
Spezi,false,Petrusquelle Cola-Mix,Siegsdorfer Petrusquelle GmbH,47.81936757502257,12.644312717371545,3,2,4,2,2.3,1,,-0.263157894737,2
Spezi,false,Pöllinger Cola Mix,Brauerei Poellinger GmbH & Co. KG,48.65794119438894,11.965391781621403,2,2,3,5,9.2,3.845360824742,,-0.263157894737,3
Spezi,false,Schwip Schwap,PepsiCo Deutschland GmbH,50.044822960218234,8.691164552538472,3,2,4,4,9.7,4.051546391753,,-0.263157894737,3
Cola,false,Sinalco Cola,Deutsche Sinalco GmbH,51.523489660032865,6.725791501055494,3,2,4,2,10,4.175257731959,11.9,2.242105263158,3
Spezi,false,Sinalco Cola Mix,Deutsche Sinalco GmbH,51.523489660032865,6.725791501055494,3,5,3,2,8.8,3.680412371134,7.5,1.315789473684,4
Spezi,false,Spezi,Brauhaus Riegele,48.36740243993363,10.884821109379955,3,4,2,4,9.2,3.845360824742,6.6,1.126315789474,5
Cola,false,"Springe Cola ",Brauerei Neunspringe Worbis GmbH,51.42620252184987,10.35228961860792,3,5,3,2,8,3.350515463918,,-0.263157894737,4
Spezi,false,sunfit Cola Mix,GET-Kooperationspartner GmbH,48.55885465366366,13.377447005441011,2,1,4,4,5.1,2.154639175258,,-0.263157894737,2
Spezi,false,Teinacher Genuss Cola-Mix,Mineralbrunnen Teinach GmbH,48.68795050503167,8.683956439968238,4,3,4,4,9.7,4.051546391753,,-0.263157894737,2
Cola,false,The Real Cola by Booster,VERITAS Vertriebsgesellschaft mbh,53.60336003850233,10.02028479444573,2,1,5,5,10.6,4.422680412371,25,5,2
Cola,false,Tirola Kola,Privatquelle-Gruber GmbH & Co KG,47.433598167564114,11.879087935534473,4,1,1,3,11,4.587628865979,,-0.263157894737,4
Cola,false,Tirola Kola leicht,Privatquelle-Gruber GmbH & Co KG,47.433598167564114,11.879087935534473,4,3,2,3,1.1,0.505154639175,,-0.263157894737,1
Spezi,false,VC Cola-Mix,Fürstlich Bissinger Auerquelle GmbH & Co. KG,48.719632442995014,10.60937279212304,2,1,2,4,9.3,3.886597938144,,-0.263157894737,2
Cola,false,Vita Cola Original,Thüringer Waldquell Mineralquellen GmbH,50.71864189768117,10.419430659763336,2,2,3,2,8.8,3.680412371134,,-0.263157894737,3
Cola,true,Vita Cola Original zuckerfrei,Thüringer Waldquell Mineralquellen GmbH,50.71864189768117,10.419430659763336,4,5,3,5,0,0.051546391753,,-0.263157894737,3
Spezi,false,XXL Limonade Cola Mix,Brauerei C. Wittmann oHG,48.52585813541628,12.140251631013223,3,4,2,2,9.6,4.010309278351,,-0.263157894737,3
